timestamp,service,message,attack_type
25012025 05:22:03,pptp,/dionaea/pptp/pptp.py:52: No config provided. Using default values,SIP Attack
25012025 05:22:03,services,/dionaea/services.py:46: Unable to start service,Other Attack
25012025 05:22:03,pptp,/dionaea/pptp/pptp.py:52: No config provided. Using default values,SIP Attack
25012025 05:22:03,services,/dionaea/services.py:46: Unable to start service,Other Attack
25012025 05:22:58,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 05:22:58,log_sqlite,/dionaea/logsql.py:747: no attackid for 172.17.0.2:443,Log_SQLite Attack
25012025 05:23:05,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 05:25:48,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 05:25:53,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 05:25:53,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 05:25:53,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 05:25:53,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 05:25:53,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 05:25:53,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 05:25:53,http,/dionaea/http.py:699: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 05:25:53,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 05:25:53,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 05:25:53,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 05:25:53,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 05:25:53,ftp,/dionaea/ftp.py:235: cmd 'b'USER'',FTP Attack
25012025 05:25:53,ftp,/dionaea/ftp.py:235: cmd 'b'SYST'',FTP Attack
25012025 05:25:53,ftp,/dionaea/ftp.py:235: cmd 'b'AUTH'',FTP Attack
25012025 05:25:53,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 05:25:53,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 05:25:53,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 05:25:53,ftp,/dionaea/ftp.py:235: cmd 'b'USER'',FTP Attack
25012025 05:25:53,ftp,/dionaea/ftp.py:235: cmd 'b'PASS'',FTP Attack
25012025 05:25:53,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 05:25:53,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 05:25:53,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 05:25:53,ftp,/dionaea/ftp.py:235: cmd 'b'QUIT'',FTP Attack
25012025 05:25:53,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 05:25:53,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 05:25:53,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 05:25:53,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 05:25:53,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 05:25:53,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 05:25:54,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 05:25:54,ftp,/dionaea/ftp.py:235: cmd 'b'PORT'',FTP Attack
25012025 05:25:54,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 05:25:54,ftp,/dionaea/ftp.py:235: cmd 'b'PASS'',FTP Attack
25012025 05:25:54,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
